player_id,height_cm,weight_kg,shoots
8471234,191,98,L
8471236,188,101,L
8471238,180,91,L
8471240,198,102,L
8471242,185,95,R
8471245,183,83,R
8471254,193,101,L
8471260,185,91,R
8471266,183,96,L
8471269,193,104,L
8471273,188,94,L
8471274,180,78,L
8471279,185,88,L
8471280,188,91,R
8471283,183,88,L
8471284,183,91,L
8471299,188,86,L
8471303,193,95,L
8471309,193,105,L
8471311,180,84,R
8471314,188,86,L
8471323,185,94,L
8471324,180,81,L
8471331,183,86,L
8471339,178,85,R
8471346,180,80,R
8471352,183,91,L
8471362,180,84,L
8471371,180,93,R
8471388,185,90,R
8471390,183,86,R
8471392,188,109,R
8471426,191,97,R
8471436,180,88,L
8471450,185,90,R
8471476,188,95,L
8471498,185,90,R
8471504,188,98,L
8471514,180,88,R
8471521,185,94,R
8471634,175,79,R
8471657,188,93,L
8471664,185,81,L
8471669,183,88,L
8471675,180,91,L
8471676,188,94,R
8471677,188,102,L
8471678,191,91,L
8471680,180,85,R
8471681,185,98,R
8471682,183,93,R
8471685,191,102,L
8471686,193,94,L
8471691,198,104,L
8471693,191,90,L
8471697,178,88,R
8471698,183,85,R
8471699,178,81,L
8471702,185,92,R
8471703,180,87,R
8471707,191,96,L
8471709,185,93,L
8471714,191,97,R
8471716,188,97,L
8471717,193,95,R
8471718,183,92,R
8471724,183,90,R
8471729,178,77,L
8471733,180,96,L
8471735,185,87,L
8471742,196,102,R
8471743,180,87,L
8471761,185,89,L
8471766,191,93,R
8471768,180,84,L
8471769,191,89,L
8471804,163,80,L
8471807,185,91,L
8471811,183,85,L
8471817,188,102,R
8471851,183,90,R
8471856,180,93,R
8471859,183,89,L
8471868,178,81,L
8471873,180,88,R
8471887,180,86,R
8471958,185,96,R
8471976,170,82,L
8472355,183,93,L
8472368,170,82,L
8472379,175,82,R
8472382,180,86,L
8473412,183,87,R
8473419,175,82,L
8473422,183,95,L
8473426,188,98,L
8473432,183,87,R
8473446,193,102,R
8473449,183,98,R
8473453,185,93,R
8473465,185,93,L
8473466,183,91,R
8473473,191,107,L
8473482,183,93,L
8473485,188,110,R
8473492,183,94,L
8473504,180,98,R
8473507,191,94,R
8473512,180,84,R
8473514,193,97,L
8473526,188,93,R
8473533,193,100,L
8473534,193,98,L
8473536,185,98,L
8473537,191,95,L
8473542,196,103,L
8473544,185,91,L
8473546,185,85,L
8473558,183,87,L
8473563,185,92,L
8473564,185,84,L
8473568,185,89,L
8473571,185,88,R
8473573,193,90,L
8473574,193,105,L
8473579,185,103,L
8473584,185,93,L
8473592,185,93,L
8473604,188,91,L
8473618,178,86,L
8473646,185,93,L
8473673,185,87,L
8473700,185,95,L
8473932,180,96,L
8473933,185,93,R
8473942,185,88,L
8473962,188,88,R
8473970,191,97,L
8473986,185,93,L
8473991,191,97,L
8473994,191,95,L
8474001,188,84,L
8474013,185,108,L
8474034,191,106,L
8474037,191,95,L
8474040,180,91,R
8474053,185,93,L
8474056,183,95,R
8474066,183,84,L
8474068,185,86,R
8474090,188,91,L
8474091,191,85,R
8474094,183,82,R
8474095,178,87,L
8474096,185,90,L
8474098,183,86,R
8474100,193,104,L
8474102,183,92,R
8474121,193,94,L
8474125,188,90,L
8474134,180,91,R
8474137,185,88,L
8474141,178,80,L
8474149,180,85,L
8474150,183,93,L
8474151,185,98,L
8474157,188,98,L
8474161,188,98,L
8474166,185,95,L
8474189,188,94,L
8474190,188,83,R
8474218,185,88,R
8474230,180,97,L
8474250,188,94,L
8474291,191,95,R
8474498,185,93,R
8474519,178,86,L
8474520,185,99,L
8474551,185,83,L
8474563,185,95,R
8474564,185,88,R
8474565,191,98,R
8474567,191,105,R
8474568,188,102,R
8474569,185,98,L
8474570,183,87,R
8474571,180,94,L
8474573,185,91,L
8474574,203,104,R
8474578,183,84,R
8474579,191,93,L
8474584,183,88,L
8474586,180,82,R
8474588,188,86,R
8474589,175,73,L
8474590,191,100,R
8474594,183,88,R
8474600,185,91,L
8474602,188,86,R
8474612,185,88,R
8474618,191,96,L
8474641,183,88,L
8474646,180,86,L
8474673,188,85,L
8474674,193,95,L
8474679,180,82,L
8474681,180,86,L
8474685,180,84,L
8474709,191,98,L
8474716,175,75,R
8474870,173,87,R
8474884,183,86,L
8475098,185,85,R
8475105,175,82,R
8475118,185,90,R
8475119,183,97,L
8475149,185,92,L
8475155,193,99,L
8475158,185,94,L
8475160,188,99,L
8475166,185,98,L
8475167,201,111,L
8475168,180,96,L
8475169,188,99,L
8475170,185,91,L
8475171,188,86,L
8475172,183,84,L
8475174,196,108,L
8475176,178,82,R
8475177,185,87,L
8475179,185,96,L
8475180,188,88,L
8475181,183,93,L
8475184,191,105,L
8475186,191,94,L
8475188,193,98,L
8475191,185,84,L
8475193,178,78,L
8475197,180,89,R
8475200,180,98,L
8475208,193,98,L
8475209,188,92,L
8475218,196,102,L
8475220,191,103,L
8475231,180,87,L
8475233,185,107,R
8475235,185,99,L
8475279,191,101,L
8475287,180,87,L
8475314,191,106,L
8475324,183,92,R
8475343,188,88,R
8475455,193,102,L
8475462,183,94,R
8475690,191,91,R
8475692,173,82,L
8475714,183,88,R
8475718,193,88,R
8475722,180,90,L
8475726,183,93,R
8475745,191,100,R
8475752,188,90,R
8475753,183,94,R
8475754,193,93,L
8475755,196,98,R
8475760,198,95,R
8475763,191,98,L
8475764,188,97,L
8475765,185,99,L
8475768,178,84,L
8475784,180,91,L
8475786,185,93,R
8475790,196,101,R
8475791,185,95,L
8475798,178,88,L
8475799,188,99,L
8475810,180,92,R
8475842,183,92,R
8475848,175,84,R
8475855,185,87,R
8475906,188,84,R
8475913,191,95,R
8476278,173,82,R
8476292,183,88,L
8476312,191,99,R
8476331,185,88,R
8476372,191,89,L
8476374,188,94,L
8476389,180,85,R
8476392,196,95,L
8476393,180,87,L
8476399,180,90,L
8476419,180,82,R
8476422,188,87,L
8476429,193,98,R
8476432,188,93,L
8476438,185,94,L
8476441,196,100,L
8476442,180,86,L
8476448,183,86,L
8476453,183,78,L
8476454,185,87,L
8476455,185,98,L
8476456,185,91,L
8476457,191,94,R
8476458,185,87,R
8476459,188,94,R
8476460,191,94,R
8476461,193,95,L
8476462,198,104,R
8476463,188,89,L
8476467,201,114,L
8476468,183,96,L
8476469,191,98,R
8476473,193,96,R
8476474,185,93,R
8476479,185,91,L
8476480,183,82,L
8476483,185,88,R
8476525,185,91,R
8476539,175,84,R
8476624,188,95,L
8476822,180,86,R
8476826,175,78,L
8476853,185,99,L
8476854,193,98,L
8476856,183,87,R
8476869,191,95,L
8476871,185,94,L
8476872,185,86,L
8476873,193,91,L
8476874,188,94,L
8476875,188,89,L
8476878,191,89,L
8476879,191,95,R
8476880,193,102,R
8476881,191,100,L
8476882,180,87,L
8476885,191,96,R
8476887,185,93,R
8476889,191,98,L
8476891,178,82,L
8476892,198,103,R
8476897,191,95,R
8476902,191,98,L
8476905,183,91,L
8476906,180,83,L
8476917,191,96,L
8476921,185,94,L
8476923,188,93,R
8476925,185,91,R
8476927,183,84,L
8476931,185,95,L
8476952,188,91,L
8476958,191,94,L
8476960,188,86,L
8476967,185,87,L
8476979,183,86,L
8476981,191,103,R
8476988,185,100,R
8476994,178,83,R
8477015,183,83,R
8477018,191,95,L
8477021,180,84,L
8477070,185,98,L
8477073,196,106,L
8477220,183,89,L
8477244,180,86,R
8477330,188,87,L
8477346,183,93,R
8477353,178,88,L
8477365,183,89,R
8477369,193,96,L
8477380,183,93,R
8477402,185,89,L
8477404,180,80,L
8477406,188,93,L
8477407,183,90,L
8477409,188,83,L
8477416,183,79,R
8477425,188,95,L
8477426,193,106,L
8477429,185,91,L
8477435,196,102,L
8477444,191,92,L
8477446,198,105,R
8477447,188,89,L
8477450,188,91,L
8477451,183,89,R
8477454,185,95,L
8477456,183,87,R
8477476,180,81,L
8477478,188,97,L
8477479,188,91,L
8477488,191,93,R
8477492,183,91,R
8477493,191,97,L
8477494,180,86,L
8477495,193,97,R
8477496,185,91,R
8477497,188,93,L
8477498,193,98,L
8477499,193,94,R
8477500,185,102,L
8477501,193,95,L
8477503,178,94,L
8477504,183,88,L
8477505,188,86,L
8477506,185,99,R
8477507,201,116,L
8477508,183,92,R
8477511,196,109,L
8477527,196,105,L
8477573,175,87,L
8477839,173,82,L
8477845,191,95,R
8477851,183,82,L
8477903,188,96,R
8477919,183,83,R
8477930,180,90,L
8477931,191,90,L
8477932,193,100,R
8477933,185,89,R
8477934,188,95,L
8477935,185,88,L
8477938,193,94,L
8477939,183,91,R
8477940,183,76,L
8477942,183,93,L
8477946,185,93,L
8477947,183,93,L
8477948,193,101,L
8477949,193,99,R
8477950,183,86,R
8477951,183,83,R
8477952,180,84,L
8477953,185,88,R
8477955,185,87,L
8477956,183,90,R
8477960,188,93,L
8477964,183,92,L
8477969,196,79,L
8477971,193,91,L
8477979,183,97,R
8477986,183,90,R
8477987,183,86,L
8477989,185,86,L
8477996,188,87,L
8477998,188,93,L
8478010,180,80,R
8478013,185,99,L
8478020,185,93,R
8478038,185,87,L
8478042,178,82,R
8478043,188,93,R
8478046,188,85,L
8478047,183,84,L
8478055,185,90,L
8478057,191,99,L
8478062,183,86,R
8478104,188,93,L
8478109,180,82,L
8478133,183,86,R
8478136,191,99,L
8478178,185,92,R
8478211,183,88,L
8478233,178,83,L
8478366,180,92,L
8478396,191,93,L
8478397,185,92,R
8478398,185,83,L
8478399,188,99,L
8478401,193,96,L
8478402,185,88,L
8478403,188,94,R
8478407,183,91,L
8478413,198,105,L
8478414,185,100,L
8478416,193,104,R
8478420,193,103,L
8478421,191,102,L
8478424,185,89,L
8478427,183,86,L
8478434,188,98,R
8478438,185,86,L
8478439,178,87,R
8478440,193,91,L
8478443,196,103,R
8478444,185,94,R
8478445,185,84,R
8478449,191,98,L
8478458,185,90,R
8478460,188,97,L
8478462,193,91,R
8478463,180,82,L
8478468,191,102,L
8478469,185,91,L
8478472,185,86,L
8478474,193,97,L
8478483,183,82,R
8478493,191,94,L
8478498,185,90,L
8478500,185,102,L
8478507,185,91,R
8478508,188,91,L
8478519,185,88,L
8478542,180,83,R
8478550,183,80,R
8478569,180,93,R
8478831,191,97,R
8478840,191,90,R
8478851,180,79,R
8478856,178,75,R
8478859,198,93,L
8478864,178,92,L
8478873,183,88,R
8478874,185,86,R
8478882,191,95,L
8478891,188,89,R
8478904,193,99,L
8478911,188,100,R
8478970,185,95,R
8478975,196,96,L
8479066,175,83,L
8479293,183,86,L
8479314,188,92,L
8479316,183,89,R
8479318,191,98,L
8479323,180,84,R
8479324,183,88,L
8479325,185,96,R
8479336,183,91,L
8479337,173,82,R
8479343,178,79,L
8479345,188,98,L
8479351,183,84,L
8479353,188,91,L
8479359,191,95,L
8479365,191,100,L
8479368,191,98,L
8479369,191,97,R
8479370,180,85,L
8479371,183,91,R
8479372,183,88,L
8479383,188,96,L
8479385,185,86,R
8479390,188,91,R
8479393,183,91,L
8479398,178,77,L
8479400,193,100,L
8479407,178,79,L
8479410,191,96,L
8479414,193,98,R
8479420,198,100,R
8479425,183,86,R
8479442,178,83,R
8479520,188,95,L
8479525,183,88,L
8479542,188,84,L
8479543,185,101,L
8479576,201,102,R
8479591,183,88,L
8479619,175,83,L
8479638,198,105,R
8479661,188,100,L
8479671,185,105,R
8479675,180,88,L
8479944,185,92,L
8479977,175,81,R
8479980,198,111,L
8479982,191,97,R
8479983,180,91,L
8479987,191,96,R
8479992,198,101,L
8479996,191,91,R
8479998,183,88,L
8479999,185,93,L
8480001,188,92,L
8480002,185,91,L
8480003,185,87,L
8480009,178,83,L
8480012,188,80,L
8480014,191,98,R
8480015,185,95,R
8480018,180,94,R
8480023,183,94,R
8480027,191,93,L
8480028,183,88,L
8480035,183,93,R
8480036,188,89,L
8480039,191,88,R
8480043,185,91,R
8480049,193,98,L
8480058,188,84,L
8480064,188,89,L
8480068,188,93,L
8480069,183,85,R
8480073,178,84,L
8480074,185,89,L
8480078,188,95,L
8480113,183,91,L
8480144,188,90,L
8480145,183,86,R
8480185,191,87,L
8480188,180,94,R
8480192,196,101,R
8480196,175,80,L
8480208,191,95,R
8480220,188,88,L
8480246,193,93,R
8480281,198,102,L
8480289,193,100,L
8480326,178,83,L
8480336,180,87,R
8480355,193,106,R
8480434,185,89,R
8480448,185,84,L
8480459,180,78,L
8480727,188,95,R
8480748,183,88,R
8480762,188,100,L
8480796,188,98,L
8480797,183,84,L
8480798,183,86,L
8480800,178,82,L
8480801,193,103,L
8480802,191,93,L
8480803,191,87,R
8480806,185,87,L
8480807,193,104,L
8480813,185,91,L
8480817,196,95,L
8480829,191,96,L
8480830,191,91,L
8480834,183,88,R
8480835,180,84,L
8480839,191,93,L
8480840,193,94,L
8480848,188,84,R
8480849,185,91,L
8480853,185,84,L
8480855,193,99,L
8480860,198,104,L
8480865,193,91,R
8480870,188,92,L
8480873,180,86,L
8480879,185,89,R
8480887,183,86,L
8480891,196,98,R
8480893,191,91,R
8480950,188,93,R
8480980,178,85,L
8480990,185,93,L
8480995,183,91,L
8481013,180,88,L
8481028,188,78,L
8481032,188,97,L
8481043,185,94,L
8481058,188,88,R
8481068,188,89,L
8481093,175,81,L
8481122,193,95,L
8481167,188,92,R
8481178,191,91,L
8481186,183,79,R
8481237,185,86,L
8481477,191,95,L
8481481,175,80,L
8481517,196,100,R
8481522,183,85,L
8481523,193,100,R
8481524,185,93,L
8481528,191,93,R
8481532,180,88,L
8481533,183,84,L
8481535,175,84,L
8481540,173,79,R
8481542,188,95,R
8481546,183,88,L
8481553,173,77,R
8481554,185,98,L
8481556,191,100,L
8481557,188,91,L
8481559,180,79,L
8481567,188,96,L
8481568,198,98,L
8481577,183,85,R
8481580,183,82,L
8481581,191,97,L
8481582,175,82,L
8481592,178,78,L
8481596,191,93,R
8481598,193,95,L
8481600,183,91,L
8481601,185,94,L
8481604,185,88,L
8481605,188,94,L
8481606,180,85,R
8481617,185,86,L
8481618,180,91,L
8481624,188,87,L
8481641,180,84,L
8481656,198,113,L
8481704,191,94,L
8481711,180,85,L
8481716,196,106,L
8481789,180,92,L
8482055,193,95,L
8482062,191,88,L
8482070,185,89,R
8482073,191,93,R
8482074,183,81,L
8482077,185,94,L
8482078,180,84,R
8482079,175,83,L
8482087,191,92,L
8482089,183,91,L
8482092,183,83,L
8482093,178,82,R
8482095,196,102,L
8482097,185,84,R
8482105,188,92,L
8482109,188,87,L
8482110,183,82,R
8482113,185,89,L
8482116,183,85,L
8482117,183,77,L
8482122,185,91,R
8482124,196,104,L
8482125,183,90,R
8482142,180,84,R
8482145,180,85,R
8482146,183,83,R
8482148,183,88,L
8482149,180,84,L
8482155,185,93,R
8482157,191,96,L
8482159,188,98,R
8482175,183,86,L
8482177,180,83,L
8482201,185,86,L
8482245,191,91,R
8482259,188,98,L
8482451,183,81,L
8482475,185,92,L
8482476,188,93,L
8482511,196,99,L
8482655,188,83,L
8482659,188,90,R
8482660,183,77,L
8482665,188,82,L
8482667,178,84,L
8482671,198,103,L
8482679,178,83,R
8482684,188,90,L
8482699,185,87,R
8482702,173,75,R
8482705,183,92,L
8482713,180,82,R
8482720,191,105,L
8482730,188,91,R
8482737,183,85,L
8482740,185,85,R
8482742,180,89,L
8482745,185,99,L
8482762,198,101,L
8482768,183,85,L
8482803,178,88,L
8482809,180,84,R
8482858,183,88,L
8482929,191,98,L
8482964,193,109,L
8483431,183,87,L
8483445,188,93,L
8483447,193,96,L
8483457,175,73,L
8483464,185,92,L
8483466,185,84,L
8483490,185,94,L
8483493,178,86,R
8483495,185,86,R
8483515,191,102,L
8483524,183,87,R
8483565,175,80,R
8483808,180,91,R
8484144,178,86,R
8484145,178,80,L
8484153,191,94,L
8484166,188,93,L
8484227,183,82,R
8484258,180,86,R
8484304,183,89,L
8484387,178,78,L
8484801,183,86,L
8484911,185,86,R
8484958,191,92,L
